time_s,time_ps,source_V,analytic_rx_V,tool_rx_V,tool_minus_analytic_V
4.8999999999999999e-11,4.9000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.8366258914578353e-16,-4.8366258914578353e-16
5.0000000000000002e-11,5.0000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0426243042300811e-16,-5.0426243042300811e-16
5.0999999999999998e-11,5.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.7672369524187630e-16,-4.7672369524187630e-16
5.2000000000000001e-11,5.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.9222778630841901e-16,-4.9222778630841901e-16
5.2999999999999998e-11,5.3000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.7423003024515964e-16,-4.7423003024515964e-16
5.4000000000000001e-11,5.4000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1076764345792114e-16,-5.1076764345792114e-16
5.4999999999999997e-11,5.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0979186150268418e-16,-5.0979186150268418e-16
5.6000000000000000e-11,5.6000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.8485521153551758e-16,-4.8485521153551758e-16
5.6999999999999997e-11,5.7000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1109290410966679e-16,-5.1109290410966679e-16
5.8000000000000000e-11,5.8000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.8615625414250019e-16,-4.8615625414250019e-16
5.9000000000000003e-11,5.9000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0751503694046463e-16,-5.0751503694046463e-16
6.0000000000000000e-11,6.0000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0838239867845303e-16,-5.0838239867845303e-16
6.0999999999999996e-11,6.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0903291998194433e-16,-5.0903291998194433e-16
6.1999999999999993e-11,6.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1640549475484576e-16,-5.1640549475484576e-16
6.3000000000000002e-11,6.3000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2974118147641747e-16,-5.2974118147641747e-16
6.3999999999999999e-11,6.4000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0155192499179435e-16,-5.0155192499179435e-16
6.4999999999999995e-11,6.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1412867019262620e-16,-5.1412867019262620e-16
6.6000000000000005e-11,6.6000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0718977628871897e-16,-5.0718977628871897e-16
6.7000000000000001e-11,6.7000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2692225582795515e-16,-5.2692225582795515e-16
6.7999999999999998e-11,6.8000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2020020235854503e-16,-5.2020020235854503e-16
6.8999999999999994e-11,6.9000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.4383580971872902e-16,-5.4383580971872902e-16
7.0000000000000004e-11,7.0000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.3169274538689137e-16,-5.3169274538689137e-16
7.1000000000000000e-11,7.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.4513685232571163e-16,-5.4513685232571163e-16
7.1999999999999997e-11,7.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.6356828925796520e-16,-5.6356828925796520e-16
7.2999999999999993e-11,7.3000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.5836411883003478e-16,-5.5836411883003478e-16
7.4000000000000003e-11,7.4000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.4080004363576961e-16,-5.4080004363576961e-16
7.5000000000000000e-11,7.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.5185890579512176e-16,-5.5185890579512176e-16
7.5999999999999996e-11,7.6000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.4600421406370003e-16,-5.4600421406370003e-16
7.6999999999999993e-11,7.7000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.6465249143045071e-16,-5.6465249143045071e-16
7.8000000000000002e-11,7.8000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.6833877881690142e-16,-5.6833877881690142e-16
7.8999999999999999e-11,7.9000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.7983132184524777e-16,-5.7983132184524777e-16
7.9999999999999995e-11,8.0000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.5771359752654348e-16,-5.5771359752654348e-16
8.1000000000000005e-11,8.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.5012418231914495e-16,-5.5012418231914495e-16
8.2000000000000001e-11,8.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.5381046970559566e-16,-5.5381046970559566e-16
8.2999999999999998e-11,8.3000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.5315994840210436e-16,-5.5315994840210436e-16
8.3999999999999994e-11,8.4000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.5489467187808117e-16,-5.5489467187808117e-16
8.5000000000000004e-11,8.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.5749675709204638e-16,-5.5749675709204638e-16
8.6000000000000000e-11,8.6000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.6183356578198840e-16,-5.6183356578198840e-16
8.6999999999999997e-11,8.7000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.5185890579512176e-16,-5.5185890579512176e-16
